Barangay,Population
Agos,"3,391"
Alnay,"2,626"
Alomon,"1,517"
Amogues,524
Anopol,"1,299"
Apad,"1,495"
Balaba,"1,813"
Balangibang,"1,553"
Balinad,"3,429"
Basud,"3,646"
Pintor,937
Buyo,"1,045"
Centro Occidental,"3,324"
Centro Oriental,"2,012"
Cepres,"1,516"
Cotmon,699
Cotnogan,"1,390"
Danao,"1,072"
Gabon,"3,106"
Gamot,"1,522"
Itaran,"2,239"
Kinale,"2,700"
Kinuartelan,757
La Medalla,803
La Purisima,488
Lanigay,"4,389"
Lidong,"1,545"
Lourdes,629
Magpanambo,"1,292"
Magurang,"3,780"
Matacon,"4,650"
Maynaga,"1,384"
Maysua,"1,061"
Mendez,"1,119"
Napo,"3,577"
Pinagdapugan,929
Ponso,"5,241"
Salvacion,"1,163"
San Roque,"1,615"
Santicon,"2,909"
Sta Cruz ,595
Sta Teresita ,785
Sugcad,"4,081"
Ubaliw,"3,529"
