barangay,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Agos,3029.435302734375,4547.60546875,3572.69287109375,3265.0859375,3060.772216796875,2131.854248046875,2897.52734375,3712.598876953125,3164.462890625,2242.20263671875,3379.29248046875,3443.914306640625,3269.403564453125,3177.565185546875,3413.03857421875
Alnay,3067.4850260416665,4691.775716145833,3725.7672526041665,3375.7825520833335,3192.7643229166665,2176.56396484375,2930.3385416666665,3756.1354166666665,3283.333984375,2261.28369140625,3476.7620442708335,3555.2877604166665,3348.4147135416665,3300.6907552083335,3475.8118489583335
Alomon,2922.9287109375,4518.51611328125,3611.9248046875,3253.79345703125,3117.9345703125,2121.322998046875,2829.525634765625,3658.6142578125,3184.30810546875,2193.83349609375,3337.000244140625,3424.263916015625,3240.101318359375,3187.078125,3355.011962890625
Amogues,3361.82763671875,5116.7099609375,4014.0380859375,3674.6240234375,3377.92822265625,2328.21630859375,3177.46923828125,4022.73583984375,3487.416015625,2455.156494140625,3789.511962890625,3878.37109375,3618.7236328125,3529.8505859375,3762.52880859375
Anopol,3392.827392578125,5135.14208984375,4040.16357421875,3702.59521484375,3368.177734375,2332.705322265625,3216.884765625,4067.020263671875,3536.641845703125,2490.48974609375,3824.92626953125,3905.091796875,3666.21142578125,3560.419921875,3816.580810546875
Apad,2979.948486328125,4437.70068359375,3495.469970703125,3254.403076171875,3010.806396484375,2074.070068359375,2819.6103515625,3578.6796875,3089.090576171875,2184.8154296875,3386.014404296875,3454.083251953125,3193.069091796875,3114.0390625,3349.0478515625
Balaba,3361.82763671875,5116.7099609375,4014.0380859375,3674.6240234375,3377.92822265625,2328.21630859375,3177.46923828125,4022.73583984375,3487.416015625,2455.156494140625,3789.511962890625,3878.37109375,3618.7236328125,3529.8505859375,3762.52880859375
Balangibang,2966.9309895833335,4455.490885416667,3523.2229817708335,3227.7408854166665,3029.8157552083335,2091.4554036458335,2845.1370442708335,3631.2581380208335,3117.3727213541665,2195.5008138020835,3344.4710286458335,3410.1451822916665,3206.6223958333335,3119.240234375,3354.0465494791665
Balinad,3281.639404296875,5021.81884765625,3975.90478515625,3610.89013671875,3364.989013671875,2291.61328125,3101.352294921875,3931.73974609375,3466.8759765625,2383.2021484375,3700.8359375,3781.042724609375,3557.07666015625,3468.945068359375,3696.86328125
Basud,2990.804931640625,4628.869140625,3687.46337890625,3317.4873046875,3183.507568359375,2151.54638671875,2873.92822265625,3697.812255859375,3258.6513671875,2212.979736328125,3399.77734375,3478.69970703125,3296.82421875,3243.55322265625,3424.8642578125
Buyo,3220.845703125,4817.58837890625,3802.375244140625,3492.37353515625,3211.2783203125,2226.599365234375,3043.158447265625,3872.781982421875,3332.698486328125,2357.8916015625,3630.7314453125,3708.46435546875,3451.59619140625,3414.96630859375,3577.707763671875
Centro Occidental,2951.4384765625,4478.1083984375,3553.697265625,3254.09814453125,3064.37060546875,2097.696533203125,2824.56787109375,3618.64697265625,3136.69921875,2189.324462890625,3361.50732421875,3439.173583984375,3216.585205078125,3150.55859375,3352.02978515625
Centro Oriental,2922.9287109375,4518.51611328125,3611.9248046875,3253.79345703125,3117.9345703125,2121.322998046875,2829.525634765625,3658.6142578125,3184.30810546875,2193.83349609375,3337.000244140625,3424.263916015625,3240.101318359375,3187.078125,3355.011962890625
Cepres,3220.845703125,4817.58837890625,3802.375244140625,3492.37353515625,3211.2783203125,2226.599365234375,3043.158447265625,3872.781982421875,3332.698486328125,2357.8916015625,3630.7314453125,3708.46435546875,3451.59619140625,3414.96630859375,3577.707763671875
Cotmon,3361.82763671875,5116.7099609375,4014.0380859375,3674.6240234375,3377.92822265625,2328.21630859375,3177.46923828125,4022.73583984375,3487.416015625,2455.156494140625,3789.511962890625,3878.37109375,3618.7236328125,3529.8505859375,3762.52880859375
Cotnogan,2999.90576171875,4379.27001953125,3438.5322265625,3154.661376953125,2935.67041015625,2054.2646484375,2862.43896484375,3636.70361328125,3063.53564453125,2200.58447265625,3302.6650390625,3321.8720703125,3151.2744140625,3023.025390625,3329.34912109375
Danao,3545.789794921875,5450.912109375,4267.85546875,3895.36669921875,3534.12841796875,2453.8203125,3364.2900390625,4247.61572265625,3707.0986328125,2603.1044921875,4011.442626953125,4089.858154296875,3858.743896484375,3712.017822265625,3998.94580078125
Gabon,3045.60107421875,4628.2568359375,3668.19287109375,3345.43798828125,3147.27490234375,2150.9404296875,2902.65625,3711.771484375,3234.77294921875,2242.16650390625,3454.0751953125,3529.98681640625,3309.578369140625,3254.028076171875,3444.12109375
Gamot,3100.39697265625,4627.64453125,3648.922607421875,3373.38818359375,3111.04248046875,2150.334716796875,2931.38427734375,3725.73095703125,3210.89453125,2271.353515625,3508.373046875,3581.27392578125,3322.33251953125,3264.502685546875,3463.3779296875
Itaran,3100.39697265625,4627.64453125,3648.922607421875,3373.38818359375,3111.04248046875,2150.334716796875,2931.38427734375,3725.73095703125,3210.89453125,2271.353515625,3508.373046875,3581.27392578125,3322.33251953125,3264.502685546875,3463.3779296875
