BARANGAY_NAME,Recurrent_2010,Recurrent_2011,Recurrent_2012,Recurrent_2013,Recurrent_2014,Recurrent_2015,Recurrent_2016,Recurrent_2017,Recurrent_2018,Recurrent_2019,Recurrent_2020,Recurrent_2021,Recurrent_2022,Recurrent_2023,Recurrent_2024
AGOS,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
ALNAY,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ALOMON,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
AMOGUIS,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
ANOPOL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
APAD,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
BALABA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BALANGIBANG,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
BALINAD,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
BASUD,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
BUYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CENTROOCCIDENTAL,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
CENTROORIENTAL,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
CEPRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COTMON,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
COTNOGAN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
DANAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GABON,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
GAMOT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ITARAN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
KINALE,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
KINUARTELAN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
LAMEDALLA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
LANIGAY,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
LAPURISIMA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
LIDONG,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
LOURDES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MAGPANAMBO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MAGURANG,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
MATACON,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
MAYNAGA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MAYSUA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MENDEZ,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
NAPO,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
PINAGDAPUGAN,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
PINTOR,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
PONSO,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
SALVACION,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SANROQUE,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
SANTICON,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
STACRUZ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
STATERESITA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
SUGCAD,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
UBALIW,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
