POINT_ID,BARANGAY_NAME,Radius_m,X,Y,ELEVATION,TWI,DIST_RIVER,FLOW_LENGTH,SLOPE,POP_DENSITY,DIST_ROAD,DRAINAGE_DENSITY,NDBI,LULC_CLASS,NDVI,STREAM_DENSITY,FLOW_ACCUMULATION
Ubaliw_1,Ubaliw,5.0,552612.449896814,1467945.4995892863,23.354366,5.5453444,10.0,75.39645,3.900309,1594.4683,545.0,3.7076886,-0.1591338,8.0,0.3412773,0.0,3.0
Ubaliw_2,Ubaliw,5.0,551578.4910725467,1469142.7183539467,20.58037,6.4116797,114.01754,88.89949,1.4325885,1594.4683,111.8034,5.86066,-0.17299187,3.0,0.34277883,18.181818,3.0
Ubaliw_3,Ubaliw,5.0,552856.6928212586,1468669.3938172047,22.801224,10.780879,225.88715,214.95143,0.20564154,1594.4683,208.80614,5.407927,-0.17756335,3.0,0.2869205,0.0,18.0
Ubaliw_4,Ubaliw,5.0,552807.5178732066,1468616.8857755242,22.62784,9.5051,205.73041,141.7647,0.37031215,1594.4683,268.00186,5.088277,-0.056896687,3.0,0.22374369,1.6528926,889.0
Ubaliw_5,Ubaliw,5.0,552085.985280221,1469063.067529056,21.834373,6.5037417,155.72412,220.25417,0.73052424,1594.4683,189.01057,5.7226014,-0.0987628,3.0,0.21941762,3.3057852,1.0
Ubaliw_6,Ubaliw,5.0,552195.9009603744,1468152.0381133757,22.367813,7.7325945,60.207973,349.25485,0.795522,1594.4683,889.2975,4.8469853,-0.119162604,3.0,0.34974208,0.0,4.0
Ubaliw_7,Ubaliw,5.0,551667.4428634264,1468626.3910526133,19.93718,9.1284485,0.0,163.10422,1.149186,1594.4683,190.39433,5.9365306,-0.15028796,3.0,0.23698545,11.570248,143.0
Ubaliw_8,Ubaliw,5.0,552317.4824385814,1469289.746263144,22.633709,10.201295,189.73666,308.18604,0.34385243,1594.4683,15.811388,5.099471,-0.06587994,1.0,0.26862594,11.570248,32.0
Ubaliw_9,Ubaliw,5.0,552777.2839769111,1468054.3099781638,23.099504,6.8334117,142.21463,246.24445,0.7377774,1594.4683,380.0,4.067139,-0.02415971,3.0,0.2630604,18.181818,2.0
Ubaliw_10,Ubaliw,5.0,551546.4881700912,1469239.0015257401,21.310984,5.6936946,15.0,333.70584,1.3740615,1594.4683,14.142136,5.795984,-0.14904152,3.0,0.3371044,9.917356,1.0
Ubaliw_11,Ubaliw,5.0,552528.0679001457,1468162.9730422643,22.559721,8.7682705,167.10774,89.74597,0.40012124,1594.4683,630.0,4.6392746,-0.044918228,3.0,0.31518364,6.6115704,8.0
Ubaliw_12,Ubaliw,5.0,552164.2760705444,1469149.810747772,22.093254,8.306742,174.42764,456.23544,0.105880246,1594.4683,152.64337,5.614393,-0.105050206,3.0,0.27560464,0.0,4.0
