barangay,barangay_normalized,susceptibility,n_points,susceptibility_std
Ubaliw,UBALIW,0.988439051,50,0.016473478
Sugcad,SUGCAD,0.763985029,50,0.173984046
Kinuartelan,KINUARTELAN,0.743428112,50,0.125633948
Centro Occidental,CENTRO OCCIDENTAL,0.971193552,50,
Gamot,GAMOT,0.673812888,50,0.170554323
Gabon,GABON,0.96817721,50,0.033870254
Amogues,AMOGUES,0.107960882,50,0.098046801
Magurang,MAGURANG,0.683578479,50,0.152492123
Lanigay,LANIGAY,0.884189615,50,0.164378166
Basud,BASUD,0.948689719,50,0.111048201
Pintor,PINTOR,0.460628142,50,0.156682015
Kinale,KINALE,0.888256734,50,0.071325982
Alnay,ALNAY,0.99241862,50,0.010569518
Sta Cruz,STA CRUZ,0.320569046,50,
Apad,APAD,0.68422582,50,0.218105907
La Medalla,LA MEDALLA,0.424077311,50,
Maynaga,MAYNAGA,0.407472123,50,0.152727255
Ponso,PONSO,0.661092557,50,0.178270767
Cepres,CEPRES,0.284943913,50,0.193384047
Buyo,BUYO,0.398859751,50,0.207813305
Santicon,SANTICON,0.912701097,50,0.07929262
Pinagdapugan,PINAGDAPUGAN,0.309588291,50,0.0789275
Balaba,BALABA,0.398688113,50,0.23978004
Amogues,AMOGUES,0.107960882,50,0.098046801
San Roque,SAN ROQUE,0.699747003,50,
Cotnogan,COTNOGAN,0.277732113,50,0.153657244
Salvacion,SALVACION,0.211427077,50,0.115557526
Magpanambo,MAGPANAMBO,0.421631648,50,0.110005006
Sta Teresita,STA TERESITA,0.825798524,50,
La Purisima,LA PURISIMA,0.150103986,49,
Lourdes,LOURDES,0.852062032,49,0.097119258
Lidong,LIDONG,0.284433359,50,0.042842289
Itaran,ITARAN,0.208838767,50,0.08914271
Anopol,ANOPOL,0.26522762,50,0.132250879
Danao,DANAO,0.281607187,49,0.09356899
Maysua,MAYSUA,0.320948913,50,0.154376367
Balinad,BALINAD,0.294658465,50,0.150329937
Napo,NAPO,0.761543139,50,0.155404182
Mendez,MENDEZ,0.706901231,50,0.049559862
Alomon,ALOMON,0.693263391,50,0.066459659
Matacon,MATACON,0.794861822,50,0.056774685
Balangibang,BALANGIBANG,0.948876459,50,0.070053275
Agos,AGOS,0.88359762,49,0.088440315
Centro Oriental,CENTRO ORIENTAL,,,
